year,state,avg_wg,wg_diff
1987,FL,7.3125814335461108,-0.004087234828064723
1988,FL,7.3188579283828661,0.0062764948367552975
1989,FL,7.3185105844577283,-0.00034734392513779966
1990,FL,7.3317023530753032,0.013191768617574873
1991,FL,7.3216808869015075,-0.010021466173795623
1992,FL,7.33146767511233,0.0097867882108229054
1993,FL,7.3167779562649189,-0.014689718847411548
1994,FL,7.2949132174613567,-0.021864738803562211
1995,FL,7.283632753534814,-0.011280463926542694
1996,FL,7.2762190564826374,-0.0074136970521765377
1997,FL,7.2566217700862579,-0.019597286396379587
1998,FL,7.2560817194592513,-0.00054005062700657191
1999,FL,7.2405396875766739,-0.015542031882577412
2000,FL,7.247671781648,0.0071320940713262004
2001,FL,7.21650225254692,-0.031169529101080506
2002,FL,7.1889054397538015,-0.027596812793118097
2003,FL,7.179258207710264,-0.009647232043537457
2004,FL,7.1609590048074487,-0.018299202902815281
1969,GA,7.1153812848469284,
1970,GA,7.1657777328457666,0.050396447998838134
1971,GA,7.1808554804872209,0.015077747641454309
1972,GA,7.119250515696387,-0.061604964790833883
1973,GA,7.1532056845168972,0.033955168820510195
1974,GA,7.1704750106735267,0.017269326156629461
1975,GA,7.15526755849739,-0.015207452176136727
1976,GA,7.2059365642049444,0.050669005707554504
1977,GA,7.2133280391517491,0.0073914749468046992
1978,GA,7.2113186863341037,-0.0020093528176454711
1979,GA,7.218701501839992,0.0073828155058883738
1980,GA,7.225895286870669,0.0071937850306769135
1981,GA,7.2275696072130291,0.0016743203423601472
1982,GA,7.23558940243172,0.008019795218690895
1983,GA,7.2514026182978446,0.015813215866124608
1984,GA,7.2631115953401109,0.011708977042266255
1985,GA,7.2752490664425924,0.012137471102481534
1986,GA,7.2742115449825375,-0.0010375214600548688
1987,GA,7.2708833866009641,-0.0033281583815734095
1988,GA,7.2669735320259745,-0.0039098545749896019
1989,GA,7.2591461917662876,-0.0078273402596868991
1990,GA,7.2423421394131893,-0.016804052353098342
1991,GA,7.2326042001072546,-0.0097379393059346953
1992,GA,7.25139726514275,0.018793065035495715
1993,GA,7.2326188790505794,-0.018778386092170862
1994,GA,7.2338640629320992,0.0012451838815197291
1995,GA,7.2283515525675526,-0.0055125103645465856
1996,GA,7.2331596668593976,0.0048081142918450226
1997,GA,7.2257686331002846,-0.007391033759112986
1998,GA,7.231419028074396,0.00565039497411135
1999,GA,7.2240828819795437,-0.007336146094852225
2000,GA,7.2201845669451261,-0.003898315034417621
2001,GA,7.1967659424866968,-0.023418624458429349
2002,GA,7.1906580879040334,-0.0061078545826633857
2003,GA,7.1644250499501529,-0.026233037953880434
2004,GA,7.1319858562417791,-0.032439193708373892
1969,HI,7.0201612035098746,
1970,HI,7.0225249203063544,0.0023637167964798422
1971,HI,7.090020938605484,0.067496018299129545
1972,HI,7.1032645797392808,0.013243641133796835
1973,HI,7.1257653783816357,0.02250079864235488
1974,HI,7.1269674006597654,0.0012020222781297107
1975,HI,7.15234644476989,0.025379044110124482
1976,HI,7.1512801190460191,-0.0010663257238707757
1977,HI,7.1457602798158213,-0.0055198392301978316
1978,HI,7.1962867687512544,0.0505264889354331
1979,HI,7.2002104027449354,0.0039236339936810083
1980,HI,7.19417722648728,-0.0060331762576550929
1981,HI,7.2014861181909007,0.0073088917036203682
1982,HI,7.1917035106235172,-0.0097826075673834723
1983,HI,7.2235930276459639,0.03188951702244669
1984,HI,7.2230174228007691,-0.00057560484519481037
1985,HI,7.2533965032853054,0.030379080484536303
1986,HI,7.2457740733885485,-0.0076224298967568771
1987,HI,7.2368250825131435,-0.0089489908754050163
1988,HI,7.2444207502385316,0.0075956677253881111
1989,HI,7.2314046396021174,-0.013016110636414169
1990,HI,7.2468372291630239,0.015432589560906429
1991,HI,7.2297301886381788,-0.017107040524845019
1992,HI,7.2290563481612606,-0.00067384047691820825
1993,HI,7.2428710494880386,0.013814701326777978
1994,HI,7.23356765739856,-0.00930339208947828
1995,HI,7.2365248373618041,0.002957179963243739
1996,HI,7.2131016781155495,-0.0234231592462546
1997,HI,7.2065167560944614,-0.0065849220210880688
1998,HI,7.2166317263318192,0.010114970237357745
1999,HI,7.2098184379095782,-0.0068132884222409373
2000,HI,7.2193925689645368,0.0095741310549586345
2001,HI,7.1785154756363561,-0.040877093328180791
2002,HI,7.1545608842228425,-0.023954591413513526
2003,HI,7.1562809327313817,0.0017200485085391293
